
Note:
"Results of the csv export."
"If more than one entry per data field is available for a strain, the export contains multiple lines per strain."
"At the end of the line you find the reference for each exported entry."


"Export with Textmined data"


strains.ID_strains,"strains.Culture collection no.",strains.Family,strains.Species,"strains.Full Scientific Name","strains.Strain Designation",strains_tax_PNU.Species,strains_tax_PNU.ID_reference,strains_taxid.tax_id,strains_taxid.tax_level,"colony_morphology.Colony shape",colony_morphology.ID_reference,"spore_formation.Ability of spore formation",spore_formation.ID_reference,"halophily.Halophily / tolerance level",halophily.ID_reference,"oxygen_tolerance.Oxygen tolerance",oxygen_tolerance.ID_reference,met_test.Voges-Proskauer-test,met_test.Methylred-test,"met_test.Indole test","met_test.Citrate test",met_test.ID_reference,"risk_assessment.Pathogenicity (human)","risk_assessment.Pathogenicity (animal)","risk_assessment.Pathogenicity (plant)",risk_assessment.ID_reference,"met_antibiogram.Incubation temperature [°C]","met_antibiogram.Penicillin G",met_antibiogram.Tetracycline,met_antibiogram.Clindamycin,met_antibiogram.ID_reference,kit_api_coryne.cupule_10,kit_api_coryne.cupule_11,kit_api_coryne.ID_reference,kit_api_20A.cupule_5,kit_api_20A.ID_reference
159652,"DSM 105287, LMG 29911",Abditibacteriaceae,"Abditibacterium utsteinense","Abditibacterium utsteinense Tahon et al. 2018",R-68213,"Abditibacterium utsteinense",20215,1960156,species,,,0,69480,,,,,,,,,,,,,,,,,,,,,,,
159652,"DSM 105287, LMG 29911",Abditibacteriaceae,"Abditibacterium utsteinense","Abditibacterium utsteinense Tahon et al. 2018",R-68213,,,,,,,0,69481,,,,,,,,,,,,,,,,,,,,,,,


References
ID_reference,URL,Authors,Title,"DOI (Digital Object Identifier)",Institution,"Catalogue Ident. No."
20215,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004332,"Parte, A.C., Sardà Carbasse, J., Meier-Kolthoff, J.P., Reimer, L.C. and Göker, M.","List of Prokaryotic names with Standing in Nomenclature (LPSN) moves to the DSMZ",10.1099/ijsem.0.004332,,
69480,https://diaspora-project.de/progress.html#genomes,"Julia Koblitz, Joaquim Sardà, Lorenz Christian Reimer, Boyke Bunk, Jörg Overmann","Predictions based on genome sequence made in the Diaspora project (Digital Approaches for the Synthesis of Poorly Accessible Biodiversity Information)",,,
69481,https://doi.org/10.21203/rs.3.rs-2527258/v1,"Xiao-Yin To, René Mreches, Martin Binder, Alice C. McHardy, Philipp C. Münch","Predictions based on the model GenomeNet Sporulation v. 1",10.21203/rs.3.rs-2527258/v1,,

219,"DSM 9849, ATCC 49176, CIP 103242, SC 10",Aerococcaceae,"Abiotrophia defectiva","Abiotrophia defectiva (Bouvet et al. 1989) Kawamura et al. 1995",,"Abiotrophia defectiva",20215,46125,species,,,,,,,anaerobe,3744,-,,,,68381,,,,3744,,,,,,,,,,
219,"DSM 9849, ATCC 49176, CIP 103242, SC 10",Aerococcaceae,"Abiotrophia defectiva","Abiotrophia defectiva (Bouvet et al. 1989) Kawamura et al. 1995",,,,592010,strain,,,,,,,,,,,-,,68380,,,,,,,,,,,,,,


References
ID_reference,URL,Authors,Title,"DOI (Digital Object Identifier)",Institution,"Catalogue Ident. No."
3744,https://www.dsmz.de/collection/catalogue/details/culture/DSM-9849,"Curators of the DSMZ",,,"Leibniz Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH","DSM 9849"
20215,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004332,"Parte, A.C., Sardà Carbasse, J., Meier-Kolthoff, J.P., Reimer, L.C. and Göker, M.","List of Prokaryotic names with Standing in Nomenclature (LPSN) moves to the DSMZ",10.1099/ijsem.0.004332,,
68380,,,"Automatically annotated from API rID32A",,,
68381,,,"Automatically annotated from API rID32STR",,,

135184,"CIP 103895",Aerococcaceae,"Abiotrophia defectiva",,,"Abiotrophia defectiva",20215,46125,species,,,,,,,,,,,,,,,,,,,,,,,,,,,


References
ID_reference,URL,Authors,Title,"DOI (Digital Object Identifier)",Institution,"Catalogue Ident. No."
