Name,Indole,Urease,D-glucose,D-mannitol,Lactose,Sucrose,Maltose,Salacin,D-xylose,L-arabinose,Gelatinase,Esculin hyrdolysis,Glycerol,Cellobiose,D-mannose,Melezitose,Raffinose,Sorbitol,L-rhamnose,Trehalose,Catalase,Endospore?,Gram,Cocci?
Acietivibrio cellulolyticus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Acutalibacter muris,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,either,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE
Akkermansia mucuniphila,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Alistipes indistinctus,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,either,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Bacteroides caccae,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Bacteroides cellulosilyticus,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,either,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,
Bacteroides clarus,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,
Bacteroides faecichinchilae,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,
Bacteroides faecis,TRUE,FALSE,TRUE,either,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,either,TRUE,FALSE,TRUE,TRUE,,,,
Bacteroides finegoldii,,,,,,,,,,,,,,,,,,,,,,,,
